sequence,seedId,name,normalizedName,mealCategory,mealTypeSuggested,countryOfOriginSuggested,discovery,studentAthleteTarget,mealPrepCandidate,imageSearchQuery,assetMainFile,assetCardFile,imageStatus
1,REC-CAND-0001,Senegalese Chicken Yassa,senegalese chicken yassa,Main Meal,Lunch,Tunisia,True,True,True,Senegalese Chicken Yassa recipe,assets/main.avif,assets/card.avif,not-included-see-readme
2,REC-CAND-0002,Georgian Lobio Bean Stew,georgian lobio bean stew,Main Meal,Lunch,Indonesia,True,True,True,Georgian Lobio Bean Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
3,REC-CAND-0003,Afghan Kabuli Pulao,afghan kabuli pulao,Main Meal,Lunch,Egypt,True,True,True,Afghan Kabuli Pulao recipe,assets/main.avif,assets/card.avif,not-included-see-readme
4,REC-CAND-0004,Tunisian Chickpea Tagine,tunisian chickpea tagine,Main Meal,Lunch,Mongolia,True,True,True,Tunisian Chickpea Tagine recipe,assets/main.avif,assets/card.avif,not-included-see-readme
5,REC-CAND-0005,Egyptian Koshari Bowl,egyptian koshari bowl,Main Meal,Dinner,Nepal,True,True,True,Egyptian Koshari Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
6,REC-CAND-0006,Sri Lankan Dhal Curry,sri lankan dhal curry,Main Meal,Lunch,Ethiopia,True,True,True,Sri Lankan Dhal Curry recipe,assets/main.avif,assets/card.avif,not-included-see-readme
7,REC-CAND-0007,Botswanan Seswaa Beef Bowl,botswanan seswaa beef bowl,Main Meal,Lunch,Senegal,True,True,True,Botswanan Seswaa Beef Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
8,REC-CAND-0008,Indonesian Tempeh Sambal Rice,indonesian tempeh sambal rice,Main Meal,Lunch,Botswana,True,True,True,Indonesian Tempeh Sambal Rice recipe,assets/main.avif,assets/card.avif,not-included-see-readme
9,REC-CAND-0009,Uzbek Chicken Pilaf,uzbek chicken pilaf,Main Meal,Lunch,Mongolia,True,True,True,Uzbek Chicken Pilaf recipe,assets/main.avif,assets/card.avif,not-included-see-readme
10,REC-CAND-0010,Ghanaian Groundnut Chicken Stew,ghanaian groundnut chicken stew,Main Meal,Dinner,Mongolia,True,True,True,Ghanaian Groundnut Chicken Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
11,REC-CAND-0011,Nigerian Jollof Rice with Turkey,nigerian jollof rice with turkey,Main Meal,Dinner,Botswana,True,True,True,Nigerian Jollof Rice with Turkey recipe,assets/main.avif,assets/card.avif,not-included-see-readme
12,REC-CAND-0012,Lebanese Mujadara Bowl,lebanese mujadara bowl,Main Meal,Dinner,Nepal,True,True,True,Lebanese Mujadara Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
13,REC-CAND-0013,Moroccan Lentil Soup,moroccan lentil soup,Main Meal,Lunch,Georgia,True,True,True,Moroccan Lentil Soup recipe,assets/main.avif,assets/card.avif,not-included-see-readme
14,REC-CAND-0014,Armenian Herb Flatbread Plate,armenian herb flatbread plate,Main Meal,Dinner,Lebanon,True,True,True,Armenian Herb Flatbread Plate recipe,assets/main.avif,assets/card.avif,not-included-see-readme
15,REC-CAND-0015,Nepalese Chicken Tarkari,nepalese chicken tarkari,Main Meal,Lunch,Indonesia,True,True,True,Nepalese Chicken Tarkari recipe,assets/main.avif,assets/card.avif,not-included-see-readme
16,REC-CAND-0016,Croatian Bean and Sausage Stew,croatian bean and sausage stew,Main Meal,Dinner,Sri Lanka,True,True,True,Croatian Bean and Sausage Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
17,REC-CAND-0017,Romanian Stuffed Pepper Bowl,romanian stuffed pepper bowl,Main Meal,Lunch,Tunisia,True,True,True,Romanian Stuffed Pepper Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
18,REC-CAND-0018,Mongolian Beef and Cabbage Bowl,mongolian beef and cabbage bowl,Main Meal,Lunch,Nigeria,True,True,True,Mongolian Beef and Cabbage Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
19,REC-CAND-0019,Albanian Baked Pepper and Rice Plate,albanian baked pepper and rice plate,Main Meal,Dinner,Ghana,True,True,True,Albanian Baked Pepper and Rice Plate recipe,assets/main.avif,assets/card.avif,not-included-see-readme
20,REC-CAND-0020,Peruvian Aji Chicken Bowl,peruvian aji chicken bowl,Main Meal,Dinner,Croatia,True,True,True,Peruvian Aji Chicken Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
21,REC-CAND-0021,Brazilian Black Bean Beef Skillet,brazilian black bean beef skillet,Main Meal,Dinner,Ethiopia,True,True,True,Brazilian Black Bean Beef Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
22,REC-CAND-0022,Filipino Chicken Adobo Rice Bowl,filipino chicken adobo rice bowl,Main Meal,Lunch,Mongolia,True,True,True,Filipino Chicken Adobo Rice Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
23,REC-CAND-0023,Tunisian Shakshuka Plate,tunisian shakshuka plate,Main Meal,Breakfast,Nigeria,True,True,True,Tunisian Shakshuka Plate recipe,assets/main.avif,assets/card.avif,not-included-see-readme
24,REC-CAND-0024,Moroccan Chermoula Fish Tray Bake,moroccan chermoula fish tray bake,Main Meal,Dinner,Senegal,True,True,True,Moroccan Chermoula Fish Tray Bake recipe,assets/main.avif,assets/card.avif,not-included-see-readme
